name,T_eff,[Fe/H],logg,absMag,appMag,(b-y),NObsPre,NObsPost,NObsTot
HD10180,5929,0.03,4.33,4.37,7.33,0.396,26,3,29
HD102117,5675,0.28,4.26,4.47,7.462,0.455,7,1,8
HD102438,5604,-0.33,4.5,5.27,6.477,0.432,41,4,45
HD104982,5769,-0.27,4.49,5.01,7.785,0.417,1,0,1
HD105837,5966,-0.56,4.42,4.71,7.528,0.368,4,0,4
HD106116,5712,0.21,4.35,4.72,7.434,0.429,8,5,13
HD10647,6154,-0.1,4.41,4.31,5.52,0.347,18,0,18
HD108147,6236,0.03,4.37,4.09,6.991,0.345,1,0,1
HD108309,5762,0.07,4.17,4.13,6.253,0.426,27,0,27
HD110619,5624,-0.28,4.54,5.36,7.538,0.402,2,0,2
HD111031,5794,0.27,4.31,4.44,6.883,0.429,9,0,9
HD114853,5741,-0.16,4.46,4.99,6.927,0.399,26,28,54
HD11505,5789,-0.15,4.34,4.6,7.424,0.402,2,0,2
HD115617,5628,0.07,4.42,5.07,4.735,0.435,589,10,599
HD117105,5919,-0.25,4.3,4.38,7.202,0.374,9,0,9
HD117207,5693,0.14,4.34,4.65,7.248,0.451,5,2,7
HD117618,5982,0.04,4.32,4.28,7.179,0.376,4,0,4
HD119638,6087,-0.12,4.35,4.26,6.905,0.348,17,0,17
HD121504,6083,0.09,4.34,4.28,7.551,0.381,1,0,1
HD12387,5710,-0.18,4.31,4.65,7.378,0.408,2,0,2
HD124292,5508,-0.09,4.5,5.33,7.044,0.448,6,0,6
HD125276,6152,-0.67,4.45,4.59,5.87,0.336,14,0,14
HD125881,6016,0.05,4.41,4.49,7.269,0.371,5,0,5
HD126525,5666,-0.1,4.42,4.94,7.848,0.426,1,0,1
HD128674,5603,-0.38,4.49,5.27,7.39,0.422,6,0,6
HD134060,5922,0.01,4.33,4.37,6.292,0.395,69,9,78
HD134987,5764,0.31,4.28,4.38,6.467,0.434,15,2,17
HD136352,5790,-0.27,4.41,4.8,5.654,0.405,260,6,266
HD136894,5501,-0.02,4.46,5.25,7.525,0.454,5,0,5
HD138573,5745,-0.04,4.41,4.83,7.232,0.413,0,1,1
HD1388,5895,-0.04,4.29,4.34,6.512,0.381,48,22,70
HD140538,5693,0.05,4.46,5.04,5.868,0.424,11,0,11
HD140901,5604,0.07,4.45,5.08,6.012,0.442,22,0,22
HD141937,5891,0.19,4.45,4.72,7.265,0.388,1,0,1
HD143114,5838,-0.35,4.32,4.55,7.352,0.386,3,0,3
HD144585,5877,0.36,4.26,4.15,6.314,0.41,12,0,12
HD1461,5779,0.19,4.37,4.63,6.463,0.422,129,4,133
HD146233,5826,0.06,4.42,4.79,5.503,0.404,91,54,145
HD147512,5547,-0.07,4.43,5.14,7.342,0.44,5,0,5
HD148211,5906,-0.57,4.16,4.13,7.697,0.364,2,0,2
HD148816,5920,-0.68,4.15,4.13,7.282,0.369,5,0,5
HD150433,5696,-0.33,4.41,4.86,7.218,0.41,16,9,25
HD152391,5421,-0.04,4.5,5.42,6.608,0.456,2,0,2
HD154417,6064,-0.05,4.42,4.44,6.02,0.362,11,0,11
HD157338,6002,-0.17,4.36,4.38,6.921,0.37,10,0,10
HD157347,5730,0.03,4.42,4.83,6.287,0.425,15,4,19
HD1581,5999,-0.24,4.42,4.56,4.228,0.368,1612,409,2021
HD161612,5606,0.21,4.47,5.1,7.19,0.443,6,0,6
HD168443,5566,0.09,4.06,4.06,6.924,0.455,3,0,3
HD168871,5988,-0.08,4.28,4.2,6.461,0.37,12,0,12
HD17051,6163,0.06,4.39,4.22,5.394,0.357,27,0,27
HD171665,5725,-0.1,4.46,4.98,7.44,0.425,3,0,3
HD172051,5665,-0.27,4.54,5.27,5.856,0.419,20,0,20
HD177409,5880,-0.15,4.44,4.75,7.532,0.392,1,0,1
HD177565,5651,0.08,4.45,5.01,6.156,0.436,23,59,82
HD177758,5930,-0.5,4.27,4.35,7.256,0.371,7,0,7
HD179949,6205,0.1,4.34,4.05,6.25,0.346,1,0,1
HD180409,6091,-0.14,4.43,4.59,6.94,0.356,8,0,8
HD1835,5747,0.08,4.45,4.8,6.395,0.417,1,0,1
HD183658,5824,0.06,4.46,4.8,7.279,0.403,4,0,4
HD184768,5663,-0.06,4.28,4.62,7.556,0.427,1,0,1
HD189567,5765,-0.24,4.41,4.83,6.078,0.403,127,4,131
HD189625,5841,0.23,4.44,4.73,7.336,0.406,3,0,3
HD190248,5598,0.38,4.28,4.62,3.546,0.458,2398,962,3360
HD193193,6077,-0.06,4.3,4.18,7.208,0.378,11,0,11
HD19467,5753,-0.07,4.3,4.53,6.974,0.41,7,0,7
HD196761,5487,-0.27,4.56,5.58,6.372,0.442,14,5,19
HD196800,6112,0.25,4.33,4.2,7.215,0.383,2,0,2
HD197818,5858,-0.16,4.48,4.89,7.666,0.387,1,0,1
HD199288,5900,-0.64,4.41,4.8,6.521,0.384,42,40,82
HD199960,5964,0.23,4.24,4.04,6.216,0.401,22,0,22
HD203432,5627,0.28,4.35,4.76,7.617,0.456,3,0,3
HD203608,6217,-0.64,4.4,4.4,4.229,0.324,25,0,25
HD20407,5923,-0.44,4.47,4.84,6.763,0.373,13,15,28
HD204385,6050,-0.01,4.36,4.3,7.156,0.377,5,0,5
HD205536,5468,0.0,4.49,5.34,7.057,0.462,2,3,5
HD20619,5751,-0.24,4.49,5.04,7.052,0.406,8,0,8
HD2071,5663,-0.2,4.47,5.1,7.271,0.419,4,0,4
HD207129,5920,-0.08,4.38,4.56,5.576,0.384,96,20,116
HD20766,5751,-0.25,4.47,5.11,5.509,0.404,7,0,7
HD20782,5773,-0.09,4.39,4.61,7.366,0.406,8,6,14
HD20807,5884,-0.28,4.46,4.83,5.232,0.383,94,57,151
HD208487,6247,-0.02,4.38,4.18,7.482,0.363,7,0,7
HD208704,5859,-0.15,4.36,4.55,7.168,0.399,8,0,8
HD210752,6047,-0.65,4.42,4.65,7.442,0.361,1,0,1
HD210918,5789,-0.12,4.3,4.5,6.221,0.411,23,58,81
HD211415,5859,-0.29,4.4,4.69,5.383,0.392,63,17,80
HD212708,5600,0.24,4.33,4.75,7.494,0.451,1,0,1
HD213575,5666,-0.06,4.12,4.15,6.951,0.421,3,0,3
HD214953,6077,-0.01,4.33,4.13,6.0,0.363,1,0,1
HD215257,5947,-0.7,4.2,4.25,7.413,0.353,2,0,2
HD217014,5814,0.2,4.33,4.49,5.454,0.416,61,0,61
HD219482,6264,-0.16,4.36,4.09,5.655,0.338,9,0,9
HD220507,5701,0.02,4.26,4.48,7.597,0.429,2,8,10
HD221356,6153,-0.24,4.42,4.42,6.506,0.347,21,5,26
HD222582,5802,0.0,4.35,4.59,7.692,0.406,1,0,1
HD222669,5904,0.04,4.45,4.7,7.686,0.392,0,1,1
HD23456,6214,-0.37,4.32,4.12,6.974,0.337,11,0,11
HD28821,5706,-0.17,4.38,4.81,7.619,0.422,1,0,1
HD30495,5857,-0.02,4.5,4.87,5.49,0.399,2,0,2
HD31527,5931,-0.17,4.39,4.56,7.493,0.379,15,1,16
HD32724,5903,-0.1,4.2,4.11,7.204,0.395,3,0,3
HD361,5895,-0.2,4.48,4.85,7.045,0.388,6,0,6
HD37962,5756,-0.26,4.46,4.97,7.846,0.405,1,0,1
HD38277,5836,-0.1,4.16,4.06,7.12,0.392,4,0,4
HD38382,6105,0.02,4.4,4.3,6.34,0.359,14,0,14
HD38858,5778,-0.25,4.51,5.07,5.975,0.402,82,16,98
HD38973,6041,0.0,4.39,4.38,6.631,0.373,12,0,12
HD39091,6000,0.06,4.36,4.35,5.662,0.372,36,12,48
HD43587,5926,-0.03,4.25,4.28,5.703,0.385,1,0,1
HD43834,5605,0.13,4.43,5.03,5.073,0.442,82,0,82
HD4391,5840,-0.18,4.48,4.89,5.795,0.399,3,0,3
HD44420,5789,0.27,4.38,4.6,7.612,0.428,2,0,2
HD44447,6022,-0.27,4.26,4.12,6.61,0.369,13,0,13
HD44594,5881,0.15,4.41,4.61,6.612,0.408,13,0,13
HD45184,5863,0.04,4.42,4.67,6.37,0.394,104,7,111
HD45289,5710,0.03,4.25,4.44,6.667,0.418,12,0,12
HD47186,5656,0.25,4.32,4.63,7.619,0.445,8,2,10
HD48938,6084,-0.42,4.32,4.28,6.444,0.351,19,0,19
HD4915,5704,-0.24,4.56,5.32,6.983,0.416,21,0,21
HD55693,5894,0.22,4.33,4.37,7.179,0.407,10,0,10
HD59468,5619,0.05,4.41,4.94,6.718,0.434,118,2,120
HD65907,6042,-0.29,4.42,4.55,5.595,0.365,372,174,546
HD6735,6060,-0.16,4.42,4.48,7.017,0.359,6,0,6
HD67458,5919,-0.2,4.48,4.8,6.794,0.379,11,0,11
HD68168,5745,0.14,4.4,4.76,7.346,0.414,3,0,3
HD68978,5966,0.05,4.42,4.53,6.727,0.376,46,3,49
HD69655,6003,-0.2,4.4,4.5,6.632,0.37,18,0,18
HD69830,5468,0.08,4.54,5.47,5.958,0.457,315,8,323
HD70642,5714,0.19,4.45,4.93,7.169,0.434,1,0,1
HD70889,6058,0.07,4.43,4.5,7.1,0.365,11,0,11
HD7134,5966,-0.25,4.35,4.44,7.491,0.364,1,0,1
HD71479,6129,0.3,4.34,4.16,7.176,0.383,7,0,7
HD72769,5598,0.4,4.32,4.72,7.225,0.452,7,0,7
HD73256,5454,0.2,4.42,5.18,8.061,0.473,6,0,6
HD73524,5981,0.09,4.36,4.34,6.534,0.382,62,33,95
HD7449,6031,-0.21,4.42,4.56,7.51,0.367,5,2,7
HD75289,6165,0.21,4.32,4.04,6.36,0.36,3,0,3
HD7570,6102,0.08,4.31,4.06,4.96,0.363,4,0,4
HD76151,5787,0.03,4.43,4.81,6.009,0.418,7,0,7
