lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness | q (cm^-1) | dq (cm^-1)
4652.593 | 21493.391 | Cr I  |  7927.441 - 29420.864 | 3d4.4s2 a 5D                        | 2    | 3d4.(5D).4s.4p.(3P*) y 5P*          | 1    | 0.689 | 1  |   490 |   60
4653.460 | 21489.386 | Cr I  |  8095.184 - 29584.571 | 3d4.4s2 a 5D                        | 3    | 3d4.(5D).4s.4p.(3P*) y 5P*          | 2    | 0.769 | 1  |   490 |   60

4759.449 | 21010.835 | Ti I  | 18141.265 - 39152.103 | 3d3.(2H).4s a 3H                    | 5    | 3d3.(2H).4p x 3H*                   | 5    | 0.420 | 0  |   440 |   60
4760.600 | 21005.756 | Ti I  | 18192.570 - 39198.323 | 3d3.(2H).4s a 3H                    | 6    | 3d3.(2H).4p x 3H*                   | 6    | 0.447 | 0  |   460 |   60

4799.873 | 20833.885 | Ti II |  8710.567 - 29544.454 | 3d2.(1D).4s a 2D                    | 3/2  | 3d2.(3F).4p z 4G*                   | 5/2  | 0.420 | 2  |    90 |   90
4800.072 | 20833.021 | Fe I  | 12968.554 - 33801.572 | 3d7.(4F).4s a 3F                    | 2    | 3d7.(4F).4p y 5D*                   | 2    | 0.325 | 2  |  -830 |  400

5138.510 | 19460.894 | Ni I  | 13521.347 - 32982.260 | 3d8.(1D).4s2 1D                     | 2    | 3d9.(2D).4p 1P*                     | 1    | 0.677 | 2  |  4950 |  500
5143.171 | 19443.258 | Fe I  | 19552.478 - 38995.736 | 3d6.4s2 a 3P2                       | 1    | 3d7.(4F).4p y 3D*                   | 1    | 0.654 | 1  |  2840 |  300

5187.346 | 19277.681 | Ti II | 15265.700 - 34543.380 | 3d2.(1G).4s b 2G                    | 7/2  | 3d2.(3F).4p z 2G*                   | 7/2  | 0.525 | 1  |   340 |  150
5200.158 | 19230.185 | Fe I  | 17927.382 - 37157.566 | 3d7.(4P).4s a 5P                    | 1    | 3d6.(5D).4s.4p.(1P*) y 5P*          | 2    | 0.695 | 1  | -1500 |  900

6123.910 | 16329.437 | Ca I  | 15210.063 - 31539.495 | 3p6.4s.4p 3P*                       | 1    | 3p6.4s.5s 3S                        | 1    | 0.766 | 1  |   -69 |    7
6138.313 | 16291.121 | Fe I  | 19788.251 - 36079.372 | 3d6.4s2 a 3H                        | 4    | 3d7.(4F).4p z 3G*                   | 3    | 0.694 | 2  |  2710 |  500

6123.910 | 16329.437 | Ca I  | 15210.063 - 31539.495 | 3p6.4s.4p 3P*                       | 1    | 3p6.4s.5s 3S                        | 1    | 0.766 | 1  |   -69 |    7
6139.390 | 16288.263 | Fe I  | 20874.482 - 37162.746 | 3d6.4s2 b 3F2                       | 3    | 3d7.(4F).4p y 3F*                   | 3    | 0.673 | 2  |  3010 |  500

6138.313 | 16291.121 | Fe I  | 19788.251 - 36079.372 | 3d6.4s2 a 3H                        | 4    | 3d7.(4F).4p z 3G*                   | 3    | 0.694 | 2  |  2710 |  500
6139.390 | 16288.263 | Fe I  | 20874.482 - 37162.746 | 3d6.4s2 b 3F2                       | 3    | 3d7.(4F).4p y 3F*                   | 3    | 0.673 | 2  |  3010 |  500

6153.320 | 16251.389 | Fe I  | 17550.181 - 33801.572 | 3d7.(4P).4s a 5P                    | 3    | 3d7.(4F).4p y 5D*                   | 2    | 0.370 | 0  |   340 |  400
6155.928 | 16244.504 | Na I  | 16956.170 - 33200.673 | 2p6.3p 2P*                          | 1/2  | 2p6.5s 2S                           | 1/2  | 0.239 | 2  |     7 |    1

6153.320 | 16251.389 | Fe I  | 17550.181 - 33801.572 | 3d7.(4P).4s a 5P                    | 3    | 3d7.(4F).4p y 5D*                   | 2    | 0.370 | 0  |   340 |  400
6162.452 | 16227.307 | Na I  | 16973.366 - 33200.673 | 2p6.3p 2P*                          | 3/2  | 2p6.5s 2S                           | 1/2  | 0.360 | 1  |   -11 |    1

6153.320 | 16251.389 | Fe I  | 17550.181 - 33801.572 | 3d7.(4P).4s a 5P                    | 3    | 3d7.(4F).4p y 5D*                   | 2    | 0.370 | 0  |   340 |  400
6168.150 | 16212.316 | Ca I  | 20335.360 - 36547.688 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.5p 3P*                       | 0    | 0.464 | 1  |  -475 |   24

6155.928 | 16244.504 | Na I  | 16956.170 - 33200.673 | 2p6.3p 2P*                          | 1/2  | 2p6.5s 2S                           | 1/2  | 0.239 | 2  |     7 |    1
6162.452 | 16227.307 | Na I  | 16973.366 - 33200.673 | 2p6.3p 2P*                          | 3/2  | 2p6.5s 2S                           | 1/2  | 0.360 | 1  |   -11 |    1

6162.452 | 16227.307 | Na I  | 16973.366 - 33200.673 | 2p6.3p 2P*                          | 3/2  | 2p6.5s 2S                           | 1/2  | 0.360 | 1  |   -11 |    1
6168.150 | 16212.316 | Ca I  | 20335.360 - 36547.688 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.5p 3P*                       | 0    | 0.464 | 1  |  -475 |   24

6162.452 | 16227.307 | Na I  | 16973.366 - 33200.673 | 2p6.3p 2P*                          | 3/2  | 2p6.5s 2S                           | 1/2  | 0.360 | 1  |   -11 |    1
6175.044 | 16194.217 | Fe I  | 17927.382 - 34121.603 | 3d7.(4P).4s a 5P                    | 1    | 3d7.(4F).4p y 5D*                   | 0    | 0.481 | 1  |   430 |  500

6168.150 | 16212.316 | Ca I  | 20335.360 - 36547.688 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.5p 3P*                       | 0    | 0.464 | 1  |  -475 |   24
6175.044 | 16194.217 | Fe I  | 17927.382 - 34121.603 | 3d7.(4P).4s a 5P                    | 1    | 3d7.(4F).4p y 5D*                   | 0    | 0.481 | 1  |   430 |  500

