star_name,Nobs,model_offset_pair,err_stat_pair,err_sys_pair,chisq_nu_pair,offset_transition1,t_stat_err1,t_sys_err1,chisq_nu1,offset_transition2,t_stat_err2,t_sys_err2,chisq_nu2
HD10180,3,-22.2356639554145,19.537090877320388,6.919534285670365,0.06867292767509567,17.816721020122507,15.26439915568302,7.192158978744987,0.31730618343283895,-4.95616082840671,12.193434603483626,9.600489428715898,1.185538803259604
HD102117,1,7.026662863793831,29.01767455589292,6.919534285670365,,-10.449877346130506,18.5500858142762,7.192158978744987,,-3.8575844142143865,22.314115553046335,9.600489428715898,
HD102438,4,6.5001628001362874,10.290918981798885,6.919534285670365,0.48869492532999415,10.507399132188834,7.552590737718054,7.192158978744987,0.529609308926664,16.791946067564023,6.971141469411751,9.600489428715898,0.34225836878267574
HD104982,0,,,,,,,,,,,,
HD106116,2,29.999419789456013,20.139156009966513,6.919534285670365,0.8479828049202554,-15.066864249156412,10.00385202175917,7.192158978744987,2.2151785133404154,-5.511346789809623,9.694966047209862,9.600489428715898,4.368980420867432
HD108309,0,,,,,,,,,,,,
HD110619,0,,,,,,,,,,,,
HD111031,0,,,,,,,,,,,,
HD114853,25,-4.659061677926604,4.676068439475078,6.919534285670365,0.5121486309432248,-7.130473283538499,3.3198477300804563,7.192158978744987,1.060263943082434,-13.420915540599092,3.037830957004035,9.600489428715898,0.5895512452078919
HD11505,0,,,,,,,,,,,,
HD115617,7,5.661147769527398,7.949554138039607,6.919534285670365,1.3017282357874873,-6.414584082700893,4.755769764404133,7.192158978744987,3.7171027258202765,-6.8272201586046455,4.923174331340018,9.600489428715898,1.3333170228383635
HD117105,0,,,,,,,,,,,,
HD117207,1,-18.404906427477382,23.90189742117854,6.919534285670365,2.2093049205417287e-32,8.008343285559448,13.699912124882804,7.192158978744987,1.8792581068634866,29.216560313991547,12.417009927449925,9.600489428715898,5.665251442070151
HD117618,0,,,,,,,,,,,,
HD12387,0,,,,,,,,,,,,
HD124292,0,,,,,,,,,,,,
HD125881,0,,,,,,,,,,,,
HD126525,0,,,,,,,,,,,,
HD128674,0,,,,,,,,,,,,
HD134060,8,14.448547222543834,8.705436659473826,6.919534285670365,0.48726087983561933,8.762152910188245,6.270061099352202,7.192158978744987,0.5450959165301384,23.877041635447164,5.497489642512586,9.600489428715898,1.2209695455574257
HD134987,2,-26.549224113208446,18.165968273308913,6.919534285670365,0.15744481715585787,23.23427521752682,12.786863363778178,7.192158978744987,0.12225050587676695,-4.246681476582123,12.883911468027062,9.600489428715898,0.8415372570108599
HD136352,3,-21.756609713034322,12.542324605279022,6.919534285670365,0.23091665830453625,3.6328808731860334,6.56260407104521,7.192158978744987,1.4064345709536699,-11.805302188242935,5.7403412608404745,9.600489428715898,5.7936658493400195
HD136894,0,,,,,,,,,,,,
HD138573,1,-39.51562312578005,28.20804730507837,6.919534285670365,,30.247021611750426,19.387819126981952,7.192158978744987,,-9.38351592550191,20.489177686402446,9.600489428715898,
HD1388,21,6.1687404467412765,6.238983355023489,6.919534285670365,0.68458146896926,-11.334497285383554,4.537886678021601,7.192158978744987,0.8966994576103454,-8.430213119406924,4.020255677019557,9.600489428715898,0.9509722676222706
HD140538,0,,,,,,,,,,,,
HD140901,0,,,,,,,,,,,,
HD141937,0,,,,,,,,,,,,
HD143114,0,,,,,,,,,,,,
HD144585,0,,,,,,,,,,,,
HD1461,4,8.612617234498419,9.62185946477775,6.919534285670365,0.22086188858096012,-0.553281586816326,6.8076617352893924,7.192158978744987,0.4084502264433581,8.8287554990928,6.7879878470703625,9.600489428715898,1.2199109215579245
HD146233,52,0.7991935590703138,2.9910411934032632,6.919534285670365,0.9452579455770752,-0.9304136449426706,2.132904728142806,7.192158978744987,1.6139330014259692,0.4763052697620645,2.012914248621656,9.600489428715898,1.1253050648954872
HD147512,0,,,,,,,,,,,,
HD150433,8,5.398654344611106,10.270623783342247,6.919534285670365,0.9240009912620559,-7.573646553514681,7.1045429640199655,7.192158978744987,1.580091579317203,4.9403946331236845,6.324006066731272,9.600489428715898,1.1384573819317831
HD152391,0,,,,,,,,,,,,
HD154417,0,,,,,,,,,,,,
HD157338,0,,,,,,,,,,,,
HD157347,4,1.4961143541697777,10.661189189053548,6.919534285670365,0.31836040394734305,10.313364115762631,7.571516424576526,7.192158978744987,0.600577522106356,12.230897154371377,7.501413321267741,9.600489428715898,0.67738066548297
HD1581,380,-1.8703830312726588,1.3963498810819674,6.919534285670365,0.9113852285456205,-0.42542277140147755,1.017572940451702,7.192158978744987,1.3730062209651905,-5.289949184187584,0.8677859760002516,9.600489428715898,1.2664078457282866
HD161612,0,,,,,,,,,,,,
HD168443,0,,,,,,,,,,,,
HD168871,0,,,,,,,,,,,,
HD171665,0,,,,,,,,,,,,
HD172051,0,,,,,,,,,,,,
HD177409,0,,,,,,,,,,,,
HD177565,55,-7.428086813212243,2.298858625258984,6.919534285670365,0.9350175327447703,5.286695842150235,1.56393752653902,7.192158978744987,1.2802678913576908,-1.439020387170815,1.6063479542703707,9.600489428715898,1.467031040185765
HD1835,0,,,,,,,,,,,,
HD183658,0,,,,,,,,,,,,
HD184768,0,,,,,,,,,,,,
HD189567,4,-5.16163424757739,10.687747997549096,6.919534285670365,0.37781767325228427,-2.0913800023580666,7.803920076131999,7.192158978744987,1.3307985083458762,-8.14283939460184,7.27904102964248,9.600489428715898,1.9342128066077382
HD189625,0,,,,,,,,,,,,
HD190248,797,3.1497225053317566,0.6817845979889686,6.919534285670365,0.7677524692299419,6.832776440659801,0.41037608768599737,7.192158978744987,1.3487059505709373,11.257985683997688,0.44981036190873996,9.600489428715898,1.3876814045900712
HD19467,0,,,,,,,,,,,,
HD196761,5,5.847572133207644,8.084372517468466,6.919534285670365,0.37957498819718466,-0.746089522474097,5.6620520881978,7.192158978744987,0.6467997831822667,5.166966178274936,5.760749046704485,9.600489428715898,1.1864482462887291
HD197818,0,,,,,,,,,,,,
HD199960,0,,,,,,,,,,,,
HD203432,0,,,,,,,,,,,,
HD20407,15,-7.045208768375449,7.56362312334051,6.919534285670365,1.378329667487737,-4.7519473933475105,5.847574099975717,7.192158978744987,1.1010305508534042,-12.697725060010956,4.779145540270713,9.600489428715898,1.37212102475352
HD204385,0,,,,,,,,,,,,
HD205536,3,-9.394565447613981,11.885711981568363,6.919534285670365,0.24748507461375613,0.9448794156740072,8.078698305233976,7.192158978744987,1.1428757121204558,-7.761673216017193,8.715788314148503,9.600489428715898,0.5891044228019008
HD20619,0,,,,,,,,,,,,
HD2071,0,,,,,,,,,,,,
HD207129,20,5.687753968406939,5.881522273813446,6.919534285670365,1.1985113532493392,0.43653537564649664,4.319858042395796,7.192158978744987,1.0527940962908084,5.696755700212748,3.9828894305635356,9.600489428715898,1.205857421772915
HD20766,0,,,,,,,,,,,,
HD20782,6,-11.90763628725465,11.415162810357709,6.919534285670365,0.6159547543237991,4.988901039205205,8.225134141414046,7.192158978744987,1.8196764772232246,-5.763362850728373,7.862759125423237,9.600489428715898,3.4401824658500315
HD20807,56,8.23052124364627,3.5630991018738642,6.919534285670365,1.0425825755310647,-0.869056079639319,2.6526700475430984,7.192158978744987,1.2118627391021504,6.820121435111224,2.3079836890354293,9.600489428715898,1.4170705223660807
HD208704,0,,,,,,,,,,,,
HD210918,56,-0.3782456899468621,2.8226361266686975,6.919534285670365,0.9953296183365815,-2.846370971085851,2.0152220586112786,7.192158978744987,1.3280722088293337,-4.241635403057979,1.8858201530317518,9.600489428715898,1.1445150741928583
HD211415,16,13.885843755471,6.423922187752644,6.919534285670365,0.7835843454697304,-7.322733504355135,4.7414013756477695,7.192158978744987,1.1276906584302355,6.684518155495039,4.159967389437471,9.600489428715898,1.080588519807026
HD212708,0,,,,,,,,,,,,
HD213575,0,,,,,,,,,,,,
HD217014,0,,,,,,,,,,,,
HD220507,8,-8.720488059046389,9.728952450728368,6.919534285670365,0.6621679268159285,-0.40231310142673765,7.0461275927296105,7.192158978744987,1.0482352682695686,-9.589165473803932,6.6873900714837555,9.600489428715898,0.7520822758715774
HD222582,0,,,,,,,,,,,,
HD222669,0,,,6.919534285670365,,,,7.192158978744987,,,,9.600489428715898,
HD28821,0,,,,,,,,,,,,
HD30495,0,,,,,,,,,,,,
HD31527,1,8.623663815953364,37.93749367717845,6.919534285670365,,-17.293187599707608,28.991058896355256,7.192158978744987,,-9.35138763461714,24.469816725386718,9.600489428715898,
HD32724,0,,,,,,,,,,,,
HD361,0,,,,,,,,,,,,
HD37962,0,,,,,,,,,,,,
HD38277,0,,,,,,,,,,,,
HD38858,16,-3.7897310035163176,4.361948045601921,6.919534285670365,1.170472569959632,4.296520114998263,3.226547947034497,7.192158978744987,1.13053788578445,0.022509927328823804,2.929790345465138,9.600489428715898,1.217897555738691
HD38973,0,,,,,,,,,,,,
HD39091,11,-4.735411356693946,8.313031840224305,6.919534285670365,0.6902960435339095,1.1847348213664375,6.215187849853548,7.192158978744987,0.5334350058074434,-3.4007911839731717,5.504023915230201,9.600489428715898,0.9651015040694603
HD43587,0,,,,,,,,,,,,
HD43834,0,,,,,,,,,,,,
HD4391,0,,,,,,,,,,,,
HD44420,0,,,,,,,,,,,,
HD44447,0,,,,,,,,,,,,
HD44594,0,,,,,,,,,,,,
HD45184,7,0.712852712693016,8.60621783530734,6.919534285670365,0.6306652160587224,-1.6510531783310294,6.4119312271299105,7.192158978744987,1.3471165242567935,-1.8558618564046079,5.733087311538061,9.600489428715898,2.8634286786176326
HD45289,0,,,,,,,,,,,,
HD47186,2,-14.356896080060576,19.472276277495368,6.919534285670365,0.037662986650604996,-2.35594109413005,12.254783646148653,7.192158978744987,0.4282879947800303,-13.326469413193578,14.279104961999908,9.600489428715898,0.057053043066368395
HD4915,0,,,,,,,,,,,,
HD55693,0,,,,,,,,,,,,
HD59468,2,-8.772209653386438,12.66714405677434,6.919534285670365,0.039628107667747686,7.226892879394182,8.94419312610982,7.192158978744987,0.0014701423730399247,-1.372111918114704,8.961802518539756,9.600489428715898,0.059303435150387225
HD65907,155,-10.33618594231456,2.2024118182005292,6.919534285670365,0.9016107363473419,10.471238671450273,1.5962025084289255,7.192158978744987,1.2406887728952263,-5.920953013512469,1.32227685813989,9.600489428715898,1.279264562211888
HD6735,0,,,,,,,,,,,,
HD67458,0,,,,,,,,,,,,
HD68168,0,,,,,,,,,,,,
HD68978,3,0.4519589543926935,14.936704901303063,6.919534285670365,2.2147814667866768,11.30297214572327,10.859229618139555,7.192158978744987,1.684852283519848,11.905327330562809,10.234738254126778,9.600489428715898,0.6806057812364552
HD69655,0,,,,,,,,,,,,
HD69830,6,-11.448763654241144,8.076784726944517,6.919534285670365,0.4458308881639278,-13.229001346412701,4.672445671884978,7.192158978744987,0.7649003612951125,-22.69033162453517,5.136670420174268,9.600489428715898,1.1326308602975976
HD70642,0,,,,,,,,,,,,
HD70889,0,,,,,,,,,,,,
HD7134,0,,,,,,,,,,,,
HD72769,0,,,,,,,,,,,,
HD73256,0,,,,,,,,,,,,
HD73524,26,22.773421474799843,5.082731802211532,6.919534285670365,0.32474794250152605,-4.554661671305328,3.5374113120945383,7.192158978744987,0.5197179732858679,23.362372382346148,3.1602165782368474,9.600489428715898,0.7762988130242339
HD7449,2,-7.24544078290949,33.9257943082375,6.919534285670365,0.1644022080671434,1.211667870193256,24.812813198443678,7.192158978744987,0.29615845313620226,-7.231257731253676,23.09171435040227,9.600489428715898,0.00015991054275637061
HD76151,0,,,,,,,,,,,,
HD78429,30,-5.05484141367241,4.5474781062671035,6.919534285670365,1.0086273436123254,0.9048479666602024,3.180708246776612,7.192158978744987,0.9672013673177962,-5.631404570538111,3.0493774234173388,9.600489428715898,1.1056541592295568
HD78558,0,,,,,,,,,,,,
HD78660,0,,,,,,,,,,,,
HD82943,30,-3.6538307797139025,4.313392049664284,6.919534285670365,0.5144789282698616,-13.85454115334547,2.863381733014822,7.192158978744987,1.0983968704332145,-16.64990646372678,2.7719004625273516,9.600489428715898,0.8281218253068642
HD83529,0,,,,,,,,,,,,
HD88742,0,,,,,,,,,,,,
HD90156,6,23.926720432700225,8.199131271895148,6.919534285670365,0.5233133099205903,-14.323702906024758,5.548144529590489,7.192158978744987,0.6482422209214471,11.419011815911503,5.336207705889274,9.600489428715898,1.3030109251388042
HD92719,7,-8.6066912552982,9.865381544767027,6.919534285670365,0.6444023267733313,7.608503788638197,7.311744921007242,7.192158978744987,1.0222657882156572,-1.5185925798731168,6.603564838140489,9.600489428715898,1.9256400685014867
HD92788,0,,,,,,,,,,,,
HD95521,0,,,,,,,,,,,,
HD96423,0,,,,,,,,,,,,
HD96700,6,-8.834667741425628,10.169946007243201,6.919534285670365,0.8238833717631756,-2.540928762257838,6.888666037940932,7.192158978744987,3.046168070468695,-4.452624075599429,6.196775049909249,9.600489428715898,0.9572704836428292
HD96937,0,,,,,,,,,,,,
HD97037,0,,,,,,,,,,,,
HD97343,7,0.05493079583756814,8.538749589877506,6.919534285670365,0.3996028728107403,-0.9362129629031314,5.472429378335907,7.192158978744987,1.0349614609810227,-4.699649789089257,5.845076858637267,9.600489428715898,1.7650263381445865
HD9782,0,,,,,,,,,,,,
HD98281,7,8.358876611204098,8.307613704098186,6.919534285670365,0.9575474401315326,8.519667967982594,5.757785117261533,7.192158978744987,1.3685346540607526,17.249210600841565,5.978340197617838,9.600489428715898,0.42541380464541007
Vesta,0,,,,,,,,,,,,
