star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD10180,17.65027088717079,19.537090877320388,28.22541415735031,33.620870615639504,66.05850513407543,48.55309908379084,15.040850464293646,14.16386529750257,13.523167520981527,14.405744020027658,16.084522742009558,34.759340327840754,23.59857585636705,24.66779943169688,35.03112598654574,25.216326728767807,19.791698955699793,19.421805877507406,15.74072068393026,36.16694439576859
HD102117,31.326666677916744,29.01767455589292,28.44506952394031,32.84138876063803,nan,32.370084587660926,16.91094777712614,18.327535833041356,21.08144482747708,23.911752437124495,26.79169204553543,31.384372290875337,25.956257054487264,21.635918276874808,33.14061020740798,24.112946325795523,23.45218705158848,18.55776810146306,19.33257963999597,23.340536110975997
HD102438,9.737446356145362,10.290918981798885,13.07837444306651,17.661265848494832,18.52166619836015,20.00192908523765,6.423126801674854,11.04868812989046,7.731841948914599,7.941485360449718,8.173513416638057,41.56184074901597,18.226901010585166,13.291754941124212,31.94034143046572,13.914343457813244,13.417412466270692,8.380461053163032,12.389622758183114,15.999303045277145
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,11.818975320383782,20.139156009966513,13.250481221642863,17.68798253321092,16.0989820012815,17.186776134964468,6.971778041404439,8.903523353390545,9.797089380179221,11.226295343926932,10.7685603652522,16.115865080054064,13.021349834696197,10.821189077314344,16.73706620143428,11.748895745447049,11.300657241494712,8.714347245603106,10.701979682511421,11.96150968939186
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,3.936909443402654,4.676068439475078,6.36581920532176,8.677858347642356,9.029713425655101,9.063992440450496,2.89241715242658,4.310827127757936,3.735436100734063,3.733346260472335,3.746528597344247,12.898933719134297,7.905577507810703,5.469653215654316,13.920278067886889,7.363403174242299,6.983008138777724,4.018716371240247,4.375483656733277,9.708852560007747
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
