star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD10180,56432.814505692855,56425.34270219407,72549.916306092,72567.1191522767,12433.440359000128,12419.805983884122,272204.26838101516,739532.1051591254,704365.9858162994,756906.5571524055,52541.8702751971,126954.54096005051,444566.89523624425,721205.8834106454,317612.89563453593,276616.66388334235,611923.3244337994,335290.2258803138,442016.53623565193,118257.91110856367
HD102117,56449.86974302945,56466.09135299756,72491.57365331982,72431.56835337903,nan,12499.553081538177,272237.60685862513,739592.4471315006,704427.5542861035,756897.2470880906,52469.77062015994,127031.82217070398,444619.3644423117,721256.2293995959,317587.5921672975,276637.11172423523,611943.6997722748,335306.745941013,442101.2333259625,118206.31019313376
HD102438,56384.024469673015,56397.58969874129,72512.43316012663,72503.3091233024,12511.845012357977,12523.13235429854,272211.07471684524,739559.1914965258,704346.8647860821,756903.3503848445,52556.35921445573,126868.55620525229,444493.7951126236,721208.5893439596,317595.8335459366,276715.3850641949,612048.6771399981,335330.8754535465,442057.4520246867,118206.56207991521
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,56435.29599867165,56482.45409386664,72499.66314419586,72531.10390410939,12531.296481356885,12547.974009973797,272221.4955971642,739567.8514819207,704396.6124182465,756928.9523560952,52529.23217784254,126977.51035707115,444559.7053600792,721212.5178265807,317581.1530616707,276655.43339399126,611956.4205337983,335301.216156828,442050.8986185628,118190.72512623349
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,56384.17228865049,56412.19860634838,72499.76996677803,72511.76549378406,12495.33071516287,12502.489917257859,272193.19898914715,739557.9150195533,704333.7896958222,756887.174006715,52554.4083099426,126959.70170932973,444529.32109173853,721202.3475928348,317567.89454505924,276672.4492639111,611994.6564499722,335320.638700821,442026.8489814648,118222.41505099033
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD115617,56399.16461164278,56438.9063480405,72509.9867119731,72522.61047653716,12532.07814287099,12534.664509467544,272220.2058714348,739565.0541576127,704359.2920462815,756899.2391469266,52545.06941563155,126956.99967843463,444549.9136583746,721208.3628667047,317581.95595182007,276660.3345844053,611978.9170925736,335313.97598017915,442054.8790482715,118207.57433842303
HD117105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD117207,56433.12088098297,56425.48596542966,72482.25948609217,72506.87321369343,12535.482426788622,12524.879613162244,272211.8107139474,739566.9018077748,704396.8904692366,756943.8863518512,52548.6065248782,127018.66566354998,444581.76491673297,721230.5772729149,317563.24836363125,276647.51441050536,611958.6180458935,335311.4080420248,442066.9104301153,118242.06268300171
HD117618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD12387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD124292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
