star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD10180,56430.389937087435,56432.35702212728,72523.7143949602,72505.53132882829,12508.220476202285,12513.976557399421,272220.95163919154,739578.0095300294,704360.8070326378,756920.3637625508,52560.732974939805,127029.02643395586,444584.8549378979,721224.5734339932,317560.44928134675,276638.67918155977,611946.6457398535,335307.1057147884,442029.8248351088,118275.52205434293
HD102117,56420.25772325007,56457.495326744625,72516.86551860892,72515.77786145077,12540.399557597812,12551.530235422553,272271.52150657703,739614.5879665697,704409.2210505184,756958.7661768834,52551.85028868277,127017.70794584867,444603.84931102727,721228.8054833446,317586.6586107514,276624.70715824206,611941.0310195355,335316.5591810956,442088.62763226975,118242.94400302831
HD102438,56378.887116743,56388.540189884254,72507.53964963043,72514.76677291251,12514.77189553805,12542.686762601212,272256.12150345306,739603.6514518196,704341.8623483859,756895.5051790259,52556.95840798698,126879.35810057848,444465.3833354204,721190.7925008566,317582.7322766085,276727.09435461275,612068.3643657118,335339.8347727533,442068.5327628501,118188.18439140335
HD104982,56382.53464719988,56456.87719751233,72512.46295201985,72529.92343031688,nan,12462.958348570639,272262.1580124215,nan,704344.7197877164,756911.0156062632,52566.37377224286,126914.47268285311,444459.85957668157,721138.7588622478,317545.43671892775,276679.1459612905,612053.2337512273,335374.24576696334,442006.2503573901,118246.63954844029
HD106116,56422.18084462188,56440.40973534775,72515.24878378022,72498.38438626328,12530.813003241947,12535.196289111866,272242.0448307534,739613.5415374915,704382.8740338281,756932.1109873418,52550.126580055425,126982.29613351324,444558.75680175977,721212.8393950063,317589.37584278994,276650.7806195722,611986.385027936,335336.7767849197,442050.2641612968,118203.75410882977
HD108309,56418.11915010606,56443.244311538394,72510.12386751395,72486.1101306065,12507.611785157398,12523.83792915359,272247.1695677941,739595.2791886117,704371.7817624141,756915.4336957046,52541.5982888583,127018.99203508739,444599.21650337183,721222.6171027855,317580.66189356206,276619.35785723716,611940.1255372089,335317.63511661644,442059.1029136822,118232.48498952373
HD110619,56365.23079663626,nan,72508.27320878614,72523.92675010601,12480.964296199054,12510.502516985714,272236.9306777181,739583.64691379,704335.6929314703,756915.3014636872,52579.68650509715,126729.92237518213,444431.3934373565,721182.5313924504,317703.55684920383,276750.30659231363,612082.5121110055,335332.5863431728,442040.97218543605,118241.39636620852
HD111031,56435.31770079905,56435.57395824557,72490.58476850209,72503.43111682488,12517.535827805403,12533.838969348113,272249.56876806595,739600.4891871475,704397.9368126029,756943.9470507714,52545.60583107572,127044.02989029554,444598.8768755688,721226.8120974216,317561.13186010637,276624.14543620194,611933.8961025259,335308.9151897392,442063.83323159465,118246.55582946772
HD114853,56402.05793424881,56402.39667716718,72515.82567990567,72504.05338024294,12498.149419312329,12515.387794056687,272227.44916249707,739593.3498428899,704338.0160982239,756889.5131677684,52552.885831746615,126917.75762760144,444491.54655850126,721198.6052864543,317572.15147192165,276707.353929843,612036.6521600557,335329.68459964264,442030.4708677203,118218.48302360304
HD11505,56388.3252350964,56379.350302243096,72501.10623570716,72421.19388954667,12457.816353803495,12495.061783353636,272279.90695498325,739559.0842671583,704328.9539546237,756867.81710714,52537.98039634156,127013.07004911458,444535.55817876663,721228.9166236839,317521.60413864814,276695.5240177979,611985.958625493,335290.9620757059,nan,118296.55148885853
HD115617,56402.60250202644,56426.281584457145,72509.2864149864,72511.39762836046,12532.367743015226,12547.461550505488,272250.08184462966,739609.7549157857,704372.5085789778,756921.0862358973,52549.14343002219,126933.2826495104,444514.225414592,721207.0546730679,317581.33440491057,276692.9730810362,612020.0215282103,335326.4726263467,442066.40805717214,118210.05864539111
HD117105,56408.204184550545,56391.90554040872,72502.03407970257,72449.40188053346,12465.737139004365,12489.868796726709,272246.0597543052,739554.7210707081,704306.381222111,756868.0651223337,52568.217606150516,127008.58475809179,444589.01857074595,721219.4969161905,317596.3681024342,276637.11309550784,611952.5081054143,335319.52728251304,442050.20713910874,118322.78057228486
HD117207,56427.21125389758,56432.234419929264,72511.25341951978,72514.63413054544,12517.725024001456,12514.038911630198,272256.7772873621,739621.7881204082,704391.8825424692,756947.0898138059,52557.63227475393,126972.36710258258,444551.93208613136,721202.453067969,317578.8538662887,276645.39905940543,611986.3410858824,335336.56122586,442066.5004235114,118229.34783704781
HD117618,56410.79266083534,56411.97234825375,72453.98365909864,72480.33676349577,12497.08758884558,12558.70957725275,272202.71099641005,739575.307378143,704355.8879657347,756890.7192170749,52536.2907938592,127020.05916338738,444594.2927602803,721210.7753712379,317572.97898509505,276619.336350079,611933.0858813226,335313.9933515303,442021.69671833667,118338.77587313452
HD12387,56370.01463280957,56392.98570674437,72536.7005702373,72531.70861869243,12484.20290912797,12509.368922066355,272279.49994200864,739561.1804251127,704347.278247695,756891.9941773156,52544.812511102755,126973.82283098952,444502.1537251106,721218.015080383,317531.54831223394,276716.0537117704,612013.8451537531,335298.5651520746,442098.1856831341,118214.74857165685
HD124292,56390.166627771665,56401.88447931629,72519.05868245996,72495.6170323733,12522.783729089053,12560.610359458886,272240.44255133724,739614.2842410019,704383.4499254694,756933.4512728362,52550.205908974895,126925.07268015717,444490.1006995558,721207.554819798,317565.36162149196,276717.5401338876,612037.6129207448,335325.525608432,442075.06196166575,118202.59916719508
HD125881,56406.50908766788,56446.44704949237,72528.20957852727,72479.11553324737,12435.875278533882,12512.195914836895,272160.166287956,739566.317674778,704334.8340092633,756883.096599457,52554.05480762982,127049.42762475151,444506.60136346245,721206.8742700209,317459.3309216464,276701.2951063674,611993.576455595,335291.64565460215,441993.62984748185,118336.4241035634
HD126525,56388.46712477205,56377.01684807072,72469.16505826951,72580.22652846215,12543.905037667519,12546.931857179563,272253.1822552005,739615.8565056772,nan,nan,52553.621534316415,126951.66155686593,444500.7157670245,721154.3813358601,317549.104055015,276653.9122500798,611983.9659780493,335330.2116519733,442075.2341207044,118191.79458530337
HD128674,56369.650469560926,56377.99183135567,72510.98092081673,72515.40747363816,12565.15862509643,12523.444838989592,272263.58128943533,739591.510483029,704345.1175495248,756901.0475339714,52556.934014605264,126857.65479812598,444411.3272622011,721169.6669288275,317554.76201450435,276763.26111778826,612112.2028835629,335349.1580195339,442066.03325910436,118189.58744567232
HD134060,56439.623828872645,56453.67472746047,72498.33313915977,72499.59751107158,12500.663327515007,12504.316747189005,272207.6210725265,739579.5937716018,704358.0843554175,756905.1182082683,52546.86864634625,127008.84998566408,444573.3612386176,721215.0349909674,317564.1568926353,276643.17621124955,611955.4645332053,335313.36386802193,442018.64046256675,118272.42658993434
HD134987,56440.51802002166,56453.53782415115,72505.70683835984,72494.20855355017,12540.560502803537,12534.349136194438,272250.66736676503,739592.3864078793,704413.7193647217,756938.203099113,52527.43558177139,127022.31455136325,444595.1235455318,721218.4474568092,317574.93297785544,276613.9877944421,611931.0394300807,335314.0293801638,442089.9742882637,118247.6317901493
HD136352,56379.89256711402,56382.29450048221,72518.27528592446,72512.41301673441,12496.831848938771,12520.864008886407,272280.1464596928,739582.5757008268,704316.1172232918,756871.2635752389,52555.12798337577,126966.32332220535,444524.20510714554,721215.6869624141,317558.0077421571,276692.64173753385,612014.4743038098,335319.4496558243,442088.1483046602,118233.45426714543
HD136894,56397.21354424793,56413.35560093219,72508.37344873176,72507.86998004862,12554.37471414466,12566.443399664968,272235.2599791383,739624.1875546057,704366.950511952,756919.3206663188,52552.81937874761,126902.37696682457,444499.8813341006,721213.0024561257,317582.97423404414,276710.32974588743,612038.4543014914,335327.69047684316,442057.40427345166,118212.13218133667
HD138573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD1388,56436.527295342996,56439.809774520785,72510.56544283044,72494.79078486799,12482.321116665766,12497.787026531774,272217.6688944009,739569.6849303535,704345.726137135,756889.0756377155,52543.610174397814,127021.27379485093,444573.1079119845,721212.9812364976,317554.0744441277,276636.75553493336,611951.9416084294,335313.6882187032,442022.46290273155,118262.68727944524
HD140538,56407.07321149604,56433.3633835322,72501.2525630233,72528.23719778298,12533.680623342741,12524.817069598446,272216.58760834177,739604.369437432,704365.4428936022,756918.7227444139,52553.43154900581,126932.6042139476,444529.4092756799,721209.1609519066,317600.60598154156,276680.1926571103,612008.2706065081,335329.5370974177,442023.19764195546,118214.3103677051
HD140901,56419.26961955756,56434.83045524507,72510.01965563268,72494.28106275114,12533.69700165292,12549.51182651242,272228.4749316812,739603.6719848287,704382.6432650504,756927.8306004587,52554.93979166527,126926.32484940019,444516.8274686819,721206.7719597819,317590.80314562924,276690.70339336485,612013.9748891373,335323.6384084794,442055.89661531255,118234.4704359502
HD141937,56430.76845871653,56420.76826205406,72483.68455455014,72579.37586728405,nan,12529.384288181465,272218.55839959084,nan,704347.8576086324,756908.1280732215,52560.348409399645,126951.02120821064,444498.6263893319,721168.7608491569,317547.6550252644,276670.381159513,611962.8899428087,335292.666693579,nan,118232.94868456022
HD143114,56366.706341577476,56389.44907708409,72507.46904425249,72507.60830659128,12495.273555704516,12488.953754117465,272313.1703328747,739560.258745859,704308.3320617644,756866.7551676332,52527.775421319435,127138.48290143341,444589.2003575017,721245.7393027163,317473.4490581625,276639.69575303385,611959.9491241904,335309.30803145585,442102.57222412276,118305.65985365838
HD144585,56445.7506479417,56481.32829999947,72483.69367083596,72491.67771527005,12505.596180942428,12524.100371650704,272241.9799944185,739579.9109919018,nan,756932.3972039237,52548.84708788963,127030.59787329749,444602.13443299994,721228.9107435986,317571.92932118726,276628.13170944643,611932.461790537,335305.2915698466,442062.3604457843,118252.53226954328
HD1461,56425.425209125235,56442.452855875345,72502.9962848955,72502.71472497364,12525.586421085218,12535.068166545074,272244.11632817984,739598.919701591,704395.4219867114,756933.8420982354,52539.83102510172,127002.78327742123,444575.5880223362,721215.4680159589,317572.5857644369,276639.9259790498,611959.2826209827,335319.3742243022,442062.074079121,118232.67175628274
HD146233,56423.92417431075,56439.00220148056,72507.7988202502,72509.7934040698,12522.772101096187,12526.852903114803,272214.06452866935,739601.6978892314,704357.4852114364,756905.159889687,52547.90902310801,126972.76047021033,444539.9772720598,721210.5996709827,317563.2449149122,276671.7421260947,611998.0636696565,335326.7804710808,442017.9606958173,118236.07751408171
