star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,0.00419075253765941,0.021478719518311644,0.02621960046254493,0.010676912729434107,0.03694983851986492,0.12365801825102773,0.01745985400459067,0.059244085053642315,0.04685099752088753,0.027752220944279968,0.01437122292659532,0.01726875791600876,0.049852941306592895,0.03725146952195263,0.02357601318822403,0.023226545424905275,0.009240155139177123,0.02044019554725051,0.014360632481313336,0.015202522104186437,0.020714342677193597,0.03404533176249052,0.006364548551795185,0.013322648846030974,0.0034646592836029577,0.019022232683114905,0.017735370549661695,0.040278284763485925
HD102117,39.34396661525202,28.47948283795515,33.557258847088015,24.425265663058124,nan,85.24674920723874,64.84826055696958,62.93831020973939,nan,41.882888557481216,nan,nan,53.49182202977932,38.73815130486021,25.07480715341906,21.731524303358558,30.63671401071357,32.74199741687157,29.31742450417476,nan,32.87712740063138,49.49111338126872,34.235663804304416,27.242144889555522,32.652408191052345,28.418413901791812,33.317253894877496,30.494321160838883
HD102438,0.007742629468633641,0.0017208548091858233,0.022468124710741222,0.007063440411229749,0.044044229642387675,0.05158877128884004,0.03642979148357605,0.019912606684788385,0.023960966162889008,0.02631266550280479,0.01408922211396657,0.017203830990666802,0.03364340762850331,0.0373239775355694,0.01215716594894783,0.0027468646857435053,0.01072746787342875,0.013885745381282177,0.006884745375985994,0.01573244636767758,0.013582497512460228,0.033803922151562915,0.015306846769670385,0.013765824954293772,0.010602717276296938,0.014585157769842077,0.010749172473611878,0.003772495901018336
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,0.014265889258018418,0.014195055155702862,0.012379116631928212,0.005997873391545779,0.013008226417572957,0.02746070555925209,0.004037746620797163,0.019786839094681388,0.0240093968349528,0.011901448009583092,0.011916507210681854,0.010858676939143875,0.016889041744960354,0.02659241888717984,0.01351972198543031,0.012857770732923286,0.014358229781554899,0.011094365173497923,0.011524995472078027,0.008687186562525909,0.02020369341527096,0.02899968138939112,0.010126594511370875,0.008692668747348425,0.010675343416120114,0.010094373510526916,0.013996216969143837,0.009968209967566043
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,0.006656337168350949,0.0054133396372977325,0.00719392966870295,0.005077465544245495,0.024164828009179202,0.03219932987153671,0.025655329727622325,0.02277825388364225,0.01686704368285971,0.01200729426780685,0.012313083059986473,0.008905696544511944,0.021815860829620677,0.016940246704038382,0.005947601648107944,0.003518211998894332,0.007202962688096646,0.008555940958740767,0.006264371045240485,0.00830598035989134,0.007237676893180871,0.011686546153973812,0.008230508102074428,0.0056176062364007625,0.006709664505226644,0.0069428654167070685,0.007468603814462323,0.008051228614599223
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD115617,0.014640257188918976,0.00545270502261077,0.008550500513883315,0.004434639290378518,0.011457979705107903,0.017232113438626285,0.01930183499634783,0.0225432579539708,0.00699751846266736,0.015703750103784792,0.01521640610716104,0.010262789811073102,0.01683779708116325,0.009404736368496657,0.01241073899945625,0.0073180838508858865,0.010405849821767748,0.008278515392132745,0.007873146786008506,0.006807331662367087,0.011048082345239414,0.008992983957873135,0.011527329971534578,0.007101490500516261,0.00893561157387144,0.010176879647037751,0.01093807042693991,0.010457328648505992
HD117105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD117207,33.92760051089663,26.01014318203071,0.03966105201029798,0.02577359182639474,0.010195403742097247,0.0361104943413758,0.010724674685826172,0.0006575133316277949,0.02577279249512758,0.012256258408005578,0.01570563805988704,0.027961894871357293,0.0001325870629002316,0.03280902627135067,0.017146472659562505,0.004410628078926506,0.0017962054576038935,0.017072994679676306,0.00577324271919843,0.004077420581371631,0.008349617817410289,0.02759667521987258,37.6593230873721,0.006221999754137438,0.005454739836026886,0.033924626575735424,35.20831150930398,29.933158336231
