star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,32.50820437375653,21.225476150667244,28.677518521325283,19.457346636638924,103.37470306069157,99.1714911830262,101.19409926386925,97.94232011669358,59.10088318722952,48.1325142436945,51.87050892086557,34.72580303435544,71.98561256673905,41.439154964079734,21.55424948633734,18.90385672979209,23.061295467231087,37.183262734873004,27.56432998728173,25.63402924175292,27.280143006043893,44.06653604800152,34.45573054482042,29.25111341099878,28.36025343742989,28.474289456683763,31.943938916553282,37.99555019515229
HD102117,39.34396661525202,28.47948283795515,33.557258847088015,24.425265663058127,nan,85.24674920723874,64.84826055696958,62.93831020973939,nan,41.882888557481216,nan,nan,53.49182202977933,38.73815130486021,25.074807153419062,21.731524303358558,30.63671401071357,32.74199741687157,29.31742450417476,nan,32.87712740063138,49.49111338126872,34.235663804304416,27.242144889555522,32.652408191052345,28.418413901791816,33.317253894877496,30.49432116083888
HD102438,17.877416875812116,21.15699404071298,24.552256445700763,17.354031850657996,40.808033268702786,59.85454655923784,49.277106945581544,47.07687584420593,53.90124061237719,33.90462613301333,48.843677919229876,34.92326536736755,41.29630546316094,28.110170793876602,12.158897916265868,12.776092225913052,17.966766812878493,28.475241379388986,20.18231437898138,19.31439980535821,20.772740698105206,40.949693762993085,20.933988324914417,14.879554300825141,15.433388574859537,17.10111786212643,17.83965272606458,19.24655328204113
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,18.783031867640602,15.611840826234019,15.66970713290282,12.964045519693604,37.268106555666165,40.60203479897044,41.95115272453488,41.52847747853152,27.467479096357827,23.1096647117643,25.178548051668418,18.82069068535781,28.109407808567713,24.77987965427023,11.87594954388605,10.492736627423136,15.872909744348846,15.819352141572418,15.225965608846202,19.63183306656601,17.376015293975744,22.56418493384691,19.578305664845335,13.648235692054858,13.897685179101362,14.954715277740066,18.065477526983553,13.5941990210697
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,7.86873544401149,5.44712045178159,7.4873563877360745,4.911956333648645,20.075007507075178,28.061550156448302,26.140836043882125,22.89086170420292,18.763854707036657,14.254166138141313,15.243771413475212,10.405963608800503,21.620133730646575,13.830977378934685,5.71706857116194,4.814558980183955,6.325613643155716,7.768611768010752,6.919290058117722,7.4087800108267645,6.913811219461233,12.367172512500165,9.475293331789322,7.249867716370309,7.280084581274519,7.532578009376619,8.22719485565865,7.551170706052129
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD115617,10.673793621555696,7.964621905996875,7.565656427581237,6.526828189945033,19.055253259479827,23.565046815230627,20.64040931809896,19.473686031051617,16.467535626608818,13.84136229696293,15.159735360444838,11.439604597442768,16.43222600659137,12.854938471848474,7.862632512812904,6.969220672956001,8.230404160932949,11.225424638596118,8.996945297659567,10.141196786798504,10.05800724727351,15.849445235450515,10.494104332732247,8.112207001362586,11.213767237581779,8.537884927854714,9.409575079891276,9.414508367611916
HD117105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
