star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,70119.84833778747,70066.33910627617,456305.4322106849,717467.4055986232,448527.7488006175,533619.6228720834,533300.4561043325,670297.5188313371,558362.6699373241,71299.99070981103,421369.8654408707,350072.95633161353,454478.7148068869,510695.59479625616,593095.3183841043,176051.79266926763,208071.29803941626,50297.61781848323,147766.49327907333,368218.85973438615,437430.90623627306,458082.1888279157,14793.544045925506,112218.78463609607,332635.1540182487,332672.8654175514,97441.08258317127,119244.0317289544
HD102117,70015.80164604435,69974.06898076073,456333.57755292696,717469.6391451032,nan,533547.8765517886,533658.8046798259,670566.8911073086,nan,71411.54693271405,nan,nan,454507.0161509185,510749.9121648101,593073.1376556329,176044.84277858454,208018.32085837488,50377.77574129574,147829.76778798323,nan,437472.4279832144,458073.98216004216,14869.380389856095,112249.70997029383,332711.9369265952,332675.04633713694,97344.17880139807,119329.84547394837
HD102438,69997.31042492077,70008.52991270414,456350.6903621648,717409.0898986429,448736.4937053087,533464.8382560621,533555.8212430807,670492.198362844,558430.0881782896,71413.63647645318,421517.31272686063,350122.50226175354,454442.48942149227,510685.6810447361,593062.4066585791,176032.4015573697,207983.83171606963,50336.9066957357,147776.1654212803,368262.9410788167,437411.88742348785,458055.766662012,14772.39060152786,112188.53307168144,332585.23504896485,332618.369769257,97442.14120184531,119253.66616074964
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,69990.28992861167,69987.91154966805,456333.0134431231,717458.4808163685,448569.7157566576,533576.5596209995,533543.5277267584,670467.6549906587,558333.1398806139,71401.70696041755,421428.97900902375,350029.51739491173,454535.1394902742,510736.7429721441,593079.6220296713,176048.65833685032,208008.6672770984,50451.35087598509,147863.22299307387,368279.97834567796,437518.11195966526,458178.01518954907,14822.6482503886,112221.27446534332,332685.20980899304,332693.4181687104,97418.12462415438,119238.81516913699
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,70033.13352131245,70013.0191445593,456342.5828491194,717392.4955781617,448687.8039434849,533588.7630487907,533527.6440730701,670438.4668868328,558472.6446732115,71425.19370222432,421553.28326798306,350124.71428560955,454496.70000704715,510678.0808805497,593082.7535686449,176050.80192349316,208008.01583725295,50324.75597223364,147785.3670250016,368201.28217036,437416.78907822183,458069.83291312354,14769.690784998389,112199.20441292232,332614.4639936676,332627.58758030745,97449.09153940169,119264.46393077204
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD115617,70002.14112433961,69971.0344812993,456356.83704183577,717442.2193347241,448614.0810134292,533542.0014521428,533516.3998600531,670407.2991039768,558454.4156642652,71463.81351124505,421564.8848505408,350099.05975622294,454514.9971060942,510707.7943187085,593057.9208308284,176027.50548296262,208002.12557812754,50400.314498179134,147844.82639262054,368295.9344574016,437475.3547044486,458159.4338053431,14801.960121044916,112232.3448063571,332642.1795081421,332671.66672516067,97436.75692775953,119250.05041234559
HD117105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD117207,69979.11625806376,69986.68885965247,456321.41259899316,717470.9378827083,448598.760717735,533508.6094754842,533561.1755590539,670463.4767427085,558330.630337208,71408.41546176432,421429.165126141,350021.1389994669,454539.555925381,510715.5137885146,593089.4253138548,176030.52623859543,208019.4616982978,50478.68440824038,147864.72985000047,368344.872621942,437498.717901965,458211.213818449,14870.15755453538,112200.84087529928,332652.9057859438,332697.2232619981,97323.72126076142,119197.6173315031
HD117618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD12387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD124292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD125881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD126525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD128674,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD134060,70093.82141791064,70080.93655924684,456367.13222383533,717454.170775843,448469.67971403425,533475.988999965,533388.731479617,670358.229494151,558321.0276654523,71310.75725841675,421364.23063050094,350053.82375320944,454552.5033619825,510690.63373509416,593093.4847570439,176080.6322469941,208022.13463911758,50342.704394145934,147784.4739443076,368250.93917960906,437429.20325811685,458115.1742318912,14798.825252943196,112198.81303956498,332650.613018463,332647.9333161029,97407.90465456026,119275.18087537127
HD134987,70025.2172081961,70009.51754332024,456316.85829997476,717491.3342906804,448536.63969498593,533662.4457630219,533559.8837034674,670452.8280384011,558214.5256927504,71330.840526431,421318.878140735,350004.01899784495,454581.44428709097,510673.74143425847,593065.3387694119,176037.26613249883,208022.78915515702,50442.55948653387,147837.50847361423,368348.55545121396,437496.3247122111,458121.6811561597,14905.630613525927,112209.37579963167,332671.3317805967,332736.4809464189,97338.64628465936,119232.68811004673
HD136352,70011.52989040357,69984.5714570735,456348.0480297973,717375.305842115,448602.1480783175,533491.6565737216,533537.7868251017,670508.8224464,558481.5057251331,71340.26170465468,421498.92789555533,350159.00535241875,454443.9736711264,510717.2513017815,593076.3179515019,176061.41756504096,208005.1798102898,50291.36231175043,147764.07707835632,368194.60369683476,437385.3550275347,457952.53158364515,14814.938560141316,112224.20555166305,332622.7157851925,332664.5757016153,97431.66071867128,119253.5062870701
HD136894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD138573,70091.47963673768,nan,456312.49170168326,717390.4526160259,nan,533587.4637694545,nan,nan,558501.1577094404,71383.23588421728,421498.2497786303,350115.0431966908,454639.39690050884,510619.03990730696,593123.9627615548,176075.46625435367,207955.16854714334,50360.474986075664,147814.7345078008,368291.519760823,437427.63813452853,458144.623040503,14822.959014125709,112194.59203812161,332642.12944622943,332634.66031739535,97374.79104419766,119278.83511069433
HD1388,70099.01480521433,70074.77447425213,456368.38953822566,717414.2416250589,448499.66770870605,533453.4827815434,533355.0330054957,670325.3679789173,558355.2680353682,71350.70235580586,421399.7729173643,350047.8196377734,454532.3111969241,510692.05560765776,593086.5288453951,176097.9163689611,208035.7131744418,50303.74556419874,147782.62522544627,368187.90476749564,437407.29634576064,458103.88229348225,14774.91138365921,112224.96113821646,332643.6419461808,332657.3296501056,97462.58822278552,119285.59754397042
HD140538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD140901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD141937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD143114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD144585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD1461,70041.71593942193,69994.73980975788,456313.11704228265,717459.3396858431,448597.17111906037,533619.827855015,533541.1906370871,670438.9154381484,558342.655444011,71377.69539632858,421445.51207948115,350066.84529210057,454584.5227868831,510738.9044334743,593079.3451637365,176053.0487712487,208002.89729600312,50413.50783705397,147827.38786629506,368305.2357285329,437487.6835111536,458136.37248437636,14812.032124871559,112210.114151327,332649.1095346072,332679.8107088383,97415.30672775813,119263.37857138256
HD146233,70046.61484427362,70028.60203672986,456331.2245962368,717430.7296509211,448560.6205860961,533526.9611096106,533452.2045909347,670394.3961332466,558375.8060436605,71374.74122843739,421441.74693611,350067.2136178633,454511.291315208,510705.09486467077,593072.281948013,176061.40646944405,208015.3434958124,50370.94846269896,147807.27304342165,368269.45020498347,437446.73342595896,458150.85174723394,14793.987640817195,112211.31664049783,332652.2583440478,332667.360955954,97431.48371688527,119271.9494864299
HD147512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD150433,70018.19028798367,69977.95068977609,456361.24111562956,717371.7261101924,448653.202307509,533599.337071777,533524.6446741273,670408.2946445709,558531.2759545089,71469.83427259642,421675.39927057276,350210.239057767,454498.81927353865,510726.3350734884,593081.0098938099,176097.10189046004,207979.47189396524,50253.300822018806,147771.7896185853,368172.1681704089,437359.46100300184,457908.01585575205,14771.828315297289,112241.7397443129,332602.66455418995,332645.8594412995,97485.49789037115,119278.75261412356
HD152391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD154417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157347,70014.09319988791,70011.53821125685,456368.42217578687,717432.6428942304,448643.8517293037,533517.6165238097,533528.2366567082,670450.5034286537,558430.9266116582,71409.08723758123,421525.5881157298,350106.4614880655,454547.44502753596,510661.7185540531,593080.7378510984,176056.53311119476,208003.61009161707,50390.10004880923,147847.66749506746,368285.62740287604,437482.03093393357,458176.7183479519,14791.35930888309,112204.31380500937,332632.4745052063,332663.62807358557,97428.82115583736,119277.26512332396
HD1581,70083.42375901915,70068.68125557793,nan,717381.0789274164,448597.84244201746,533493.1826665364,533459.5750118155,670399.882365269,558413.7303972634,71352.33510104554,421474.10968055367,350122.29125852254,454486.5176117615,510668.3381931612,593088.8062260548,176086.39672436623,208026.72906380074,50261.08672386392,147747.3963074322,368170.74158928107,437355.74876920145,458039.05988909595,14737.89339762016,112205.31770218002,332609.880939959,332625.45406600204,97481.9416584531,119285.62309469059
HD161612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD171665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD172051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
