star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,70079.25105679205,70049.0602919327,456327.8606760128,717458.1641883561,448574.2440931865,533500.7368427173,533427.9747680884,670420.6150191418,558384.9383013202,71352.75799103841,421409.7395773502,350069.23382085224,454514.19480734965,510676.4709456273,593120.7040144211,176097.3371201519,208024.39791645855,50382.794035471394,147788.8000247833,368260.6549420142,437433.96620191797,458085.804738773,14811.528067501182,112199.9843735292,332645.97809857054,332652.68738358415,97402.65114564795,119255.39422719016
HD102117,70025.94479292506,69986.41529710012,456339.9883895683,717496.0504843352,448566.88375585614,533541.3766223764,533511.3147121725,670475.5184455081,558398.8391329674,71411.28372339517,421433.1299705872,350030.6363032276,454600.9364590343,510740.10292134446,593088.262717422,176055.58190561045,208020.5810814036,50420.116374300946,147832.33074045664,368319.03097109543,437506.7404511843,458127.76266161236,14841.25098690984,112208.91885708395,332680.6089742205,332677.0250876992,97390.30812624915,119248.73009347828
HD102438,69988.07376642528,69967.34764623914,456337.9387841291,717405.889174545,448654.71354019066,533528.865833342,533531.6318179154,670418.5598804184,558521.0342999868,71449.5813306654,421642.4001357309,350184.52707641554,454509.1221441263,510639.5419100047,593071.527773067,176035.5343358208,208002.0379462123,50368.62686360688,147812.73772079538,368237.9435066219,437452.24195566314,458136.29237840755,14791.068643831335,112211.49647874458,332624.5011073426,332623.9042724901,97427.74424727481,119246.91526740082
HD104982,70069.48588435349,69968.25806364979,456309.73143606953,717407.4575933283,448636.8661816902,533632.5078176706,533609.0931242758,670579.6067327543,558404.8814852588,71304.37673364987,421434.32120553154,350129.97373859695,454451.86629335664,510611.31748790876,593128.6224681799,176026.40736277463,207956.3995848714,nan,nan,368131.83272998076,nan,nan,14759.814696417792,112180.10801805434,332594.64640054293,332548.8585153066,97365.32360942329,119308.11992273439
HD106116,69996.48406793906,69996.60052110054,456319.43017062504,717474.1392569222,448570.86297945556,533511.041237227,533478.2791292883,670418.9490820089,558431.9529624614,71395.5846295345,421486.54002491885,350087.4731885715,454574.77514099865,510719.5101894502,593073.985141478,176041.95515252507,208009.95333519098,50419.20454895439,147850.23031925023,368318.3944652847,437503.9802881839,458172.47330205573,14842.58215064974,112213.18161766826,332672.1454099711,332685.08252306824,97395.12893338001,119266.2892618574
HD108309,70064.94997517909,70037.70410013212,456308.10068351834,717461.0404820464,448619.7037234802,533576.144591122,533545.3684810145,670483.4277664066,558357.8175864753,71375.00698560638,421426.70461682015,350048.64661778737,454535.8585313722,510705.8922599845,593127.5440933402,176094.56603546694,208019.27428839653,50359.04617821024,147784.59732726376,368254.92836891033,437425.38477959455,458005.80322241504,14831.017372200144,112210.08274249245,332659.69883207406,332666.7229615384,97388.75804538207,119261.17021804175
HD110619,69953.91486124483,69981.01781672306,456363.7211515937,717387.5419300728,448575.59453667514,533720.7811685816,533598.4767677464,670234.2350882938,558565.904183151,71529.5230522576,421725.1985015075,350202.33565440535,454515.6911389738,510742.2268248062,593081.1824468799,176040.03667561436,208017.9474509069,50338.56760768333,147793.29806266315,368268.02965451544,nan,458000.3372095187,14793.508791354488,112265.18959755929,332618.5874152529,332582.7210496469,97400.1889504756,119255.60036671162
HD111031,70031.58892092288,70013.90956624699,456305.069700672,717492.1256703804,448534.92244424607,533504.3373959695,533480.6543588849,670424.6804258095,558368.630232217,71376.71974181174,421432.154482761,350053.78176558367,454559.5193602455,510758.6557666614,593095.7628052371,176063.56896930397,208038.852855126,50418.38083352509,147801.39458032913,368335.7615941306,437488.8632134898,458100.2899064665,14854.945472622385,112204.31129479145,332682.7672931349,332700.08539682976,97382.10770831924,119235.2821695983
HD114853,70009.51045834507,70014.56586461117,456337.2991422977,717408.5764104236,448661.469946053,533483.9955225957,533512.7268416672,670444.7766959149,558499.2038145273,71400.77701462478,421563.97913776577,350166.5563068769,454540.91092202923,510661.4018354326,593090.7275838716,176060.9491627073,208000.5266557677,50313.92629243869,147784.78445925764,368220.96201346826,437420.6273488404,458084.7655368298,14763.632626820918,112198.09054978374,332615.8741184784,332622.9890530018,97451.07594054041,119269.32641919394
HD11505,70087.65774780123,70037.153193409,456339.0865906517,717423.6132562023,448566.32228016556,533672.6480311557,533431.3943832105,670464.6231072798,558511.6683449645,71350.83135105287,421569.623588687,350157.14587009465,454652.8935837135,510761.3437613811,593093.2045019565,176111.373551227,207978.48485069297,50302.56508249379,147789.78822265097,368235.2749905495,437405.7853104559,457830.52909609914,14775.323235706961,112196.4242669671,332606.2865728263,332647.3560757301,97506.48901300598,119245.82817747927
HD115617,69983.72648250501,69964.86033539477,456340.38181373454,717444.3703971166,448606.0522226491,533548.6060171851,533518.7839572779,670432.7960943321,558450.0825431896,71440.46429869703,421537.09865328047,350095.4202435638,454533.38227257814,510695.61483150796,593065.5534736428,176033.82159502275,208011.42350786418,50404.31188742689,147855.13162097102,368299.93686073675,437495.0032897898,458201.05918722734,14805.216941069204,112223.60185006756,332651.40618892165,332663.18728951365,97430.58033941661,119262.44857493874
HD117105,70067.94146575803,70069.89004071032,456374.288643254,717389.8244804236,448705.3619455637,533629.9982824414,533569.8749486925,670574.174001334,558492.2544881939,71304.90985005854,421501.4499171384,350193.04391552135,454557.98261982814,510623.9364868728,593132.5884763604,176118.05221739263,208033.26697431586,50228.34601694158,147705.8222174338,368134.1494005032,437315.4258549548,457940.51917831687,14769.451432167172,112201.3780950148,332605.8565726964,332611.93416612846,97466.64883175016,119279.4461520678
HD117207,70014.73811869574,69959.55367752627,456293.4424156193,717475.1180860077,448545.4834114023,533606.087764671,533526.6790633574,670474.3855025043,558365.3092270689,71403.13687226381,421408.6395316922,349997.06693299743,454581.2651570186,510730.65041421953,593080.4289138856,176057.99278268084,208033.37168263152,50475.93721466488,147868.3395381506,368315.85841360176,437531.2531637681,458205.07056924084,14852.967558630826,112208.70665867187,332677.2932518276,332671.3184044208,97362.72267962272,119237.84222123408
HD117618,70142.42292059158,70088.29677093445,456340.1514941148,717434.2778606946,448586.67775899236,533401.6835453969,533593.4407150004,670508.8625149417,558297.1754487726,71266.39790345788,421370.47329928266,350075.84389023366,454638.0253826408,510626.0762796075,593156.7908540616,176141.3964820261,208029.77925775034,50337.06475707452,147745.85641173433,368250.2463248163,437388.3474513348,458059.68359609053,14776.499401458557,112195.28770037046,332681.55191703065,332635.45279034454,97384.12883329857,119289.91598486221
HD12387,70069.76772598749,69993.74838421955,456289.3327197835,717398.403620246,448649.4274199175,533652.4564154092,533513.0239128133,670428.7436763337,558548.356515265,71510.26787813466,421630.1154028613,350118.3021914951,454457.6630919275,510701.84173382976,593156.323835543,176117.83025866264,208014.21836427288,50256.637959000334,147756.9078574633,368135.8782716684,437407.1150319965,458029.66965041455,14833.588182486534,112219.20816925514,332602.2166297903,332633.80915151496,97364.8651508628,119250.74294169332
HD124292,69977.99084357651,69940.2303571114,456342.14985516196,717426.6627451984,448596.05222235026,533608.4266698576,533537.8258050298,670449.8346251202,558468.0567309769,71450.24517520778,421555.0546597889,350115.88912484975,454503.3463403336,510695.1088925019,593040.2974298692,176022.0829364335,208004.26591678493,50448.81663653256,147891.41847141276,368297.40465004276,437549.73327659426,458272.0972394228,14808.206228130535,112221.22029190205,332648.0140244786,332635.27692508773,97419.0067623785,119247.33447695983
HD125881,70055.91468140026,70049.98468954167,456283.88147345505,717442.9524360246,448556.14446594846,533553.5650827535,533382.3175802914,670459.4835789612,558420.0229226433,71363.79884591921,421446.93339555635,350073.80055069673,454455.58437999076,510588.1256294645,593128.7671166845,176098.8438494122,207999.8472784082,50359.85680651984,147803.44864498064,368197.23726911494,437426.77567566227,458102.8230757089,14712.330237876145,112253.04569997826,332663.2981548377,332608.11463235534,97516.69131171338,119235.49528199041
HD126525,70039.15196294297,70023.26188694677,456352.47220426146,717487.2064308474,448610.0079395605,nan,533467.4954084083,670321.598146282,558447.3957068042,71452.41426127004,421593.246466496,350140.861544675,nan,510717.9100122832,593068.1085822949,176072.78157564023,207960.71267600168,50380.46105787395,147803.96585727978,368255.1058777115,437464.1873102722,458153.59117597394,14759.814548479995,112223.37295073201,332640.12820363266,332637.41611361876,97517.50134920867,119266.1189697732
HD128674,69993.29542284444,69945.78589952624,456321.69185881654,717388.8723707846,448667.2798409706,533539.3381735645,533457.2391725121,670411.8694377099,558637.6308873664,71488.79082508507,421672.88943636074,350165.2357877101,454552.596108259,510599.47359942744,593087.6271402878,176026.5234709207,207995.95058646135,50309.13100197191,147810.4175178244,368234.43771250645,437437.7235328877,458110.36791084183,14759.339573666572,112185.6986293143,332573.1828488727,332628.64695865195,97470.1714410968,119289.91774455142
HD134060,70082.52641978428,70063.08814854539,456327.46382785105,717461.0923253859,448556.43856626295,533470.7205517861,533463.5764574594,670410.611127254,558363.0380568082,71343.13779435684,421420.2515445143,350076.120396062,454502.2242461517,510666.17881571397,593120.7653026169,176097.45959698822,208039.97556054054,50350.57779836572,147800.40455157193,368258.1576877912,437438.3422062006,458129.1792448951,14782.563775537654,112213.60776468091,332662.28706237656,332657.3371773563,97426.19555027674,119282.8334405635
